,id,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,load_rate,cod_removal_mg_l,cod_removal_rate,bod5_removal_mg_l,bod5_removal_rate,ss_removal_mg_l,ss_removal_rate,nh3n_removal_mg_l,nh3n_removal_rate,tn_removal_mg_l,tn_removal_rate,tp_removal_mg_l,tp_removal_rate,cod_load_kg,tn_load_kg,tp_load_kg,energy_per_volume,avg_removal_rate
nh3n_effluent_mg_l,0.037383833316159513,0.05070981602234827,0.04120549081044763,0.05925145706226269,0.5598601556347068,-0.025351375187537366,0.1044902338654272,-0.09159403198639211,0.18263543457692147,-0.09459062222860318,1.0,-0.1346354772336551,0.24568714918085136,-0.17039185943924734,0.07819798555291667,0.1165230379566294,-0.08337552793480796,-0.008548496559868597,-0.4419578399705409,-0.030271441073710274,-0.17311341710673406,-0.1083702205956051,-0.20000090228736456,-0.1204813671057725,-0.8310364905719256,-0.19595880844358948,-0.31303949293999367,-0.17581446900358988,-0.1916845968972948,0.12899069073260513,0.0021362614601490196,-0.024375356327323662,0.04404143555518209,-0.45969041767265845
tn_influent_mg_l,-0.17907781549524673,0.21460478891727175,0.2035579819020094,0.4148578927128933,-0.16646876605465663,0.5000900538574619,-0.059579496830263715,0.24999136437486177,0.01869080800707828,0.914535485326116,-0.1346354772336551,1.0,0.28040492718952575,0.7049413220100386,0.007806084328020143,0.2430493905509345,-0.10057499324869552,0.444991199612721,0.39921940270540135,0.49947431168925094,0.21699265149212577,0.24920072089001138,0.15861481158580282,0.9154842812253713,0.5281108053503222,0.9757891585285711,0.6712252043494226,0.7106009011927314,0.5150405731521996,0.2284099141030217,0.34283089745579987,0.3020715214758509,0.007920439700357617,0.6770559104843401
tn_effluent_mg_l,0.010197568595735246,0.39562160187354145,0.3910928864404174,0.1503120045401347,0.19370370209129506,0.11427307433986081,0.08901883165711194,0.13422691099440592,0.0582438524214434,0.29928334196933076,0.24568714918085136,0.28040492718952575,1.0,0.24444001657157285,0.21438511438430077,0.37473693247163015,-0.005315576755292335,0.12984787533631265,-0.0032398566343270676,0.10912433948161807,0.006540454666716513,0.1294605067844229,0.02870100483289833,0.29201497092529294,-0.0067553840805083904,0.06367714803903128,-0.47163770388217324,0.23568538537424735,0.05880863604695641,0.3767119964419117,0.3871645477910288,0.38736832298673324,-0.15681529288856075,-0.23367997828571266
tp_influent_mg_l,-0.3458807837725082,0.275582043243048,0.2670301175982119,0.3966181454354005,-0.044886407299836485,0.4405401797948081,-0.13247140957451742,0.5477781607920423,0.10541173307571103,0.6105781085620027,-0.17039185943924734,0.7049413220100386,0.24444001657157285,1.0,0.19402338994727322,0.2673374449744034,-0.07656896845456278,0.4113102489156299,0.30655290637962207,0.44390074538423785,0.2939749204462398,0.540240411089256,0.18376245666826982,0.6133172962819975,0.48504135298141987,0.6772171205321541,0.4782096661153804,0.9987658289477023,0.5502452722927043,0.2699524151702654,0.3528810716596859,0.42286250768267436,-0.017467965603241868,0.5742018798969835
tp_effluent_mg_l,-0.20488428784541454,-0.01804955913600471,-0.01957583614141526,-0.20958253950924177,0.1387091195477847,-0.24834487446004685,0.23749090600728548,0.12069844678242038,-0.0257724850189216,-0.03102558711356874,0.07819798555291667,0.007806084328020143,0.21438511438430077,0.19402338994727322,1.0,-0.0613086164114986,-0.1226638033450197,-0.23155233412626,-0.28353891298992534,-0.2581838702555567,-0.2853419212791677,0.12345067860747425,0.06025480111427864,-0.03298371679343933,0.05190176703292263,-0.040732763722492835,-0.09222187186555844,0.14506067932773628,-0.579458887705462,-0.058977813789963134,-0.006540017263569748,0.03878776592298647,0.17246735414724831,-0.26141605553916675
annual_electricity_consumption_kwh,-0.12206287402040193,0.9391418539898128,0.9335900865300427,0.5631872594153549,0.29847224893792346,0.3891539086186705,0.08410867882140093,0.21469268798228094,0.2944132923953553,0.26717131770083136,0.1165230379566294,0.2430493905509345,0.37473693247163015,0.2673374449744034,-0.0613086164114986,1.0,0.03770755306900446,0.539301437985857,0.19843324945907428,0.3823083300099717,0.17066220048768893,0.18894298984611518,-0.11550255124271924,0.2633718136894547,0.04702845218645799,0.16730828056364358,-0.043916679545646084,0.27273763246816446,0.284729849261073,0.9694135020147044,0.9127660537446689,0.8674145819291169,-0.17869402505540166,0.084428397199561
load_rate,0.13143790531871027,0.015641284165099002,0.08747602584646384,0.0128603189843946,-0.13947164470477827,0.04015159421621809,-0.011697565315917655,-0.10147345927582913,-0.011734127991793339,-0.11231130666918275,-0.08337552793480796,-0.10057499324869552,-0.005315576755292335,-0.07656896845456278,-0.1226638033450197,0.03770755306900446,1.0,0.030387546185716846,0.1740997955120209,0.040439529578348135,0.04102451897715871,-0.10077899609484396,-0.0635322246319332,-0.10981450189477494,-0.05001579029798052,-0.10335469805529622,-0.14273996319266222,-0.07101625588602532,0.04227565629701603,0.05989654518750186,0.06559868784394371,0.056501233183199995,-0.351106553820747,-0.03881571756241387
cod_removal_mg_l,-0.24796777484734542,0.4830758027183039,0.4478216330198542,0.9928006073246974,0.12705279210982767,0.829893371322374,-0.0017968759112865465,0.4538882550109653,0.23921800279745956,0.3936321887256969,-0.008548496559868597,0.444991199612721,0.12984787533631265,0.4113102489156299,-0.23155233412626,0.539301437985857,0.030387546185716846,1.0,0.6004137778505587,0.8241347484453281,0.3982028923224303,0.43396392607523404,0.009523951042260727,0.3927483927980386,0.13780195340216742,0.4330623319765446,0.2583380253409403,0.4265663317645951,0.45373015629321245,0.5702442203279141,0.5007392072191513,0.4599473832309787,-0.15269131470232605,0.4547509356317601
cod_removal_rate,-0.10525882440969715,0.23737047803891387,0.2265680811333045,0.5103845096062335,-0.6334582406285281,0.5773860039984321,-0.2778619759947373,0.28914971787051147,-0.09276249267317832,0.3940160280345121,-0.4419578399705409,0.39921940270540135,-0.0032398566343270676,0.30655290637962207,-0.28353891298992534,0.19843324945907428,0.1740997955120209,0.6004137778505587,1.0,0.5868769506686075,0.5391180899452114,0.298536976490914,0.22170185266041006,0.4044677775317226,0.5052511331591678,0.41579890946129755,0.34092923835234196,0.32354125890298774,0.4679778042703331,0.2088974084940777,0.2833420723626318,0.2512145323155632,-0.33459369066945766,0.706153863052378
bod5_removal_mg_l,-0.24045316746519949,0.3512655104604741,0.3461904531733078,0.8039253684373292,-0.01351279633275654,0.9988260410672894,-0.1682598829576012,0.34838213657457395,0.1259695368832043,0.45189813504324583,-0.030271441073710274,0.49947431168925094,0.10912433948161807,0.44390074538423785,-0.2581838702555567,0.3823083300099717,0.040439529578348135,0.8241347484453281,0.5868769506686075,1.0,0.560970283957604,0.33828077826869823,0.06492891115958244,0.45141862457821763,0.2063930901956772,0.49442931963777464,0.3335655386840768,0.4607850836652317,0.5085418834715189,0.4263830399050033,0.41873816811396836,0.3616364325745009,-0.2696489624297099,0.5497466047512487
bod5_removal_rate,-0.07279801348186661,0.19388694420056565,0.1859800348926685,0.36397007716341223,-0.20915110676051202,0.5249564415622137,-0.8138443378708893,0.2286549935368535,-0.018203689685532935,0.3288726472636573,-0.17311341710673406,0.21699265149212577,0.006540454666716513,0.2939749204462398,-0.2853419212791677,0.17066220048768893,0.04102451897715871,0.3982028923224303,0.5391180899452114,0.560970283957604,1.0,0.2311110655218861,0.14668424887913098,0.33247553881793906,0.27848989952368525,0.22411279244023033,0.18579327280086905,0.31094652453996985,0.4516740296703722,0.17741598740070394,0.2149405554393457,0.20624570133756936,-0.23699613112525042,0.5491851056126732
ss_removal_mg_l,-0.33659504294754056,0.2343465540980708,0.21671328723837052,0.42509949727062574,0.007601748021602586,0.3389496249865688,-0.035227243592160284,0.9959649165908048,-0.005311471857631726,0.19760669110843762,-0.1083702205956051,0.24920072089001138,0.1294605067844229,0.540240411089256,0.12345067860747425,0.18894298984611518,-0.10077899609484396,0.43396392607523404,0.298536976490914,0.33828077826869823,0.2311110655218861,1.0,0.42772384730172297,0.19988539220932539,0.20645098179765128,0.22959102065633355,0.1402243538052896,0.5386303691434297,0.2943298824299755,0.214089031089772,0.21363493807969644,0.2669236302397159,-0.021452270549144416,0.3695896686220563
ss_removal_rate,-0.0832138345334264,-0.045562381723553314,-0.03870864384546722,-0.024524213925607975,-0.2801772642012744,0.058938230565975115,-0.13128002116600787,0.34854397862075304,-0.8653196070265394,0.19838041751478777,-0.20000090228736456,0.15861481158580282,0.02870100483289833,0.18376245666826982,0.06025480111427864,-0.11550255124271924,-0.0635322246319332,0.009523951042260727,0.22170185266041006,0.06492891115958244,0.14668424887913098,0.42772384730172297,1.0,0.20305371234426983,0.2638546023453241,0.1583691014810321,0.1138545568796882,0.1822901545465967,0.12208601893401977,-0.10618774078495195,-0.015254685764833567,0.0024287072938670696,-0.014038511209431443,0.43779634525774347
nh3n_removal_mg_l,-0.07878037526958183,0.24012018010175057,0.23172250237104872,0.3626522793639749,-0.17591300450915534,0.44431417244644544,-0.20974226380639413,0.19489078937291976,-0.04772793284872682,0.9996609127988723,-0.1204813671057725,0.9154842812253713,0.29201497092529294,0.6133172962819975,-0.03298371679343933,0.2633718136894547,-0.10981450189477494,0.3927483927980386,0.4044677775317226,0.45141862457821763,0.33247553881793906,0.19988539220932539,0.20305371234426983,1.0,0.5378462426830727,0.8852743999664351,0.6096969158142372,0.6202550643875124,0.5211390220478791,0.23953828136617059,0.3480940510758293,0.2965500188815432,-0.011884885391724597,0.6783100090515574
nh3n_removal_rate,-0.10556917273289833,0.10386673251863116,0.11093662306998789,0.0747446230168672,-0.49645824884334117,0.20017491395954,-0.15633267274709722,0.19146390162703822,-0.15881096838104702,0.5175649972996568,-0.8310364905719256,0.5281108053503222,-0.0067553840805083904,0.48504135298141987,0.05190176703292263,0.04702845218645799,-0.05001579029798052,0.13780195340216742,0.5052511331591678,0.2063930901956772,0.27848989952368525,0.20645098179765128,0.2638546023453241,0.5378462426830727,1.0,0.5506058370850996,0.5453895385194143,0.48657966571081745,0.4002944408780026,0.031788479035349586,0.17939812738179803,0.18875383184280492,-0.06148640284996563,0.6881137062077174
tn_removal_mg_l,-0.18850730336649052,0.13297631374133778,0.12252304997325607,0.3970704728898287,-0.21721060445152446,0.49389633280288864,-0.08222698624217438,0.2293269910715418,0.006161351719459498,0.882631824653322,-0.19595880844358948,0.9757891585285711,0.06367714803903128,0.6772171205321541,-0.040732763722492835,0.16730828056364358,-0.10335469805529622,0.4330623319765446,0.41579890946129755,0.49442931963777464,0.22411279244023033,0.22959102065633355,0.1583691014810321,0.8852743999664351,0.5506058370850996,1.0,0.8053246078389071,0.6850960571026575,0.5220779167669908,0.15163787288587663,0.26821749669612766,0.22579433052337103,0.04396578764044469,0.7571669576447184
tn_removal_rate,-0.15084617461189173,-0.05769981049773091,-0.0649217269244161,0.2188054074922448,-0.279147900798972,0.3305981859027451,-0.10854063811507611,0.13893792350555473,-0.008774389351348364,0.6032057742110581,-0.31303949293999367,0.6712252043494226,-0.47163770388217324,0.4782096661153804,-0.09222187186555844,-0.043916679545646084,-0.14273996319266222,0.2583380253409403,0.34092923835234196,0.3335655386840768,0.18579327280086905,0.1402243538052896,0.1138545568796882,0.6096969158142372,0.5453895385194143,0.8053246078389071,1.0,0.4869861644004191,0.44522758994903827,-0.051770249289372995,0.04921425394829555,0.028856144246937998,0.052602010710363585,0.8097859380192404
tp_removal_mg_l,-0.3384784542570817,0.2788628730900013,0.27031476847385544,0.41063572372629026,-0.05229467077988305,0.4568975135102377,-0.14563318940525224,0.5463722044293646,0.10762196261431496,0.6173932110504845,-0.17581446900358988,0.7106009011927314,0.23568538537424735,0.9987658289477023,0.14506067932773628,0.27273763246816446,-0.07101625588602532,0.4265663317645951,0.32354125890298774,0.4607850836652317,0.31094652453996985,0.5386303691434297,0.1822901545465967,0.6202550643875124,0.48657966571081745,0.6850960571026575,0.4869861644004191,1.0,0.5843089065055403,0.27525705618876195,0.3562431099640607,0.4245307128391809,-0.02634988214371478,0.5923690275180054
tp_removal_rate,-0.0900323111929956,0.2670733785685188,0.2635608825604934,0.4261786244673601,-0.1434576016820514,0.49946829733851106,-0.25805969541020574,0.3005714607781782,0.08121842745729965,0.517581257068367,-0.1916845968972948,0.5150405731521996,0.05880863604695641,0.5502452722927043,-0.579458887705462,0.284729849261073,0.04227565629701603,0.45373015629321245,0.4679778042703331,0.5085418834715189,0.4516740296703722,0.2943298824299755,0.12208601893401977,0.5211390220478791,0.4002944408780026,0.5220779167669908,0.44522758994903827,0.5843089065055403,1.0,0.2826028728708009,0.2958792182550091,0.2918567520689745,-0.25752573970172365,0.6886949511447525
cod_load_kg,-0.16178056126336193,0.9604404512322835,0.9555071642343325,0.5937911720404271,0.30144218007919565,0.43343212554430616,0.08188681190103413,0.23929632216695604,0.2893664519197251,0.24359758042872492,0.12899069073260513,0.2284099141030217,0.3767119964419117,0.2699524151702654,-0.058977813789963134,0.9694135020147044,0.05989654518750186,0.5702442203279141,0.2088974084940777,0.4263830399050033,0.17741598740070394,0.214089031089772,-0.10618774078495195,0.23953828136617059,0.031788479035349586,0.15163787288587663,-0.051770249289372995,0.27525705618876195,0.2826028728708009,1.0,0.9406048876126845,0.9049828396202012,-0.25526572948118903,0.08462759860861299
tn_load_kg,-0.20084582506064855,0.9635685537341661,0.9704099043484805,0.5006508366249799,0.09274190645864078,0.42158651330171065,-0.002491646410145103,0.22775281768974534,0.16578225528149193,0.3491321355415234,0.0021362614601490196,0.34283089745579987,0.3871645477910288,0.3528810716596859,-0.006540017263569748,0.9127660537446689,0.06559868784394371,0.5007392072191513,0.2833420723626318,0.41873816811396836,0.2149405554393457,0.21363493807969644,-0.015254685764833567,0.3480940510758293,0.17939812738179803,0.26821749669612766,0.04921425394829555,0.3562431099640607,0.2958792182550091,0.9406048876126845,1.0,0.967784942330368,-0.311748477382234,0.2006386244337794
tp_load_kg,-0.18985632348776443,0.9401072177981948,0.9405669144035457,0.4614553732087835,0.09834680575340898,0.3629691773309188,-0.02508924978992753,0.2803840913556521,0.16056974006263428,0.29674726949423164,-0.024375356327323662,0.3020715214758509,0.38736832298673324,0.42286250768267436,0.03878776592298647,0.8674145819291169,0.056501233183199995,0.4599473832309787,0.2512145323155632,0.3616364325745009,0.20624570133756936,0.2669236302397159,0.0024287072938670696,0.2965500188815432,0.18875383184280492,0.22579433052337103,0.028856144246937998,0.4245307128391809,0.2918567520689745,0.9049828396202012,0.967784942330368,1.0,-0.3083010082406978,0.18489005129556893
energy_per_volume,-0.043768018767979006,-0.3110898689606672,-0.33785414458044494,-0.12208378175038492,0.22495990409180217,-0.26346660542183686,0.16473606664050525,-0.017380434597793575,0.04452073274901458,-0.01076317979840865,0.04404143555518209,0.007920439700357617,-0.15681529288856075,-0.017467965603241868,0.17246735414724831,-0.17869402505540166,-0.351106553820747,-0.15269131470232605,-0.33459369066945766,-0.2696489624297099,-0.23699613112525042,-0.021452270549144416,-0.014038511209431443,-0.011884885391724597,-0.06148640284996563,0.04396578764044469,0.052602010710363585,-0.02634988214371478,-0.25752573970172365,-0.25526572948118903,-0.311748477382234,-0.3083010082406978,1.0,-0.15273713868994712
avg_removal_rate,-0.16593414337924567,0.10926737863241383,0.1030429456955831,0.3867744703632882,-0.4780286081587819,0.5359162160130434,-0.3608060793835211,0.3462099642212848,-0.24585911639623695,0.6681656909600673,-0.45969041767265845,0.6770559104843401,-0.23367997828571266,0.5742018798969835,-0.26141605553916675,0.084428397199561,-0.03881571756241387,0.4547509356317601,0.706153863052378,0.5497466047512487,0.5491851056126732,0.3695896686220563,0.43779634525774347,0.6783100090515574,0.6881137062077174,0.7571669576447184,0.8097859380192404,0.5923690275180054,0.6886949511447525,0.08462759860861299,0.2006386244337794,0.18489005129556893,-0.15273713868994712,1.0
