id,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,treatment_process,advanced_processs,disinfection_processs,load_rate,cod_removal_mg_l,cod_removal_rate,bod5_removal_mg_l,bod5_removal_rate,ss_removal_mg_l,ss_removal_rate,nh3n_removal_mg_l,nh3n_removal_rate,tn_removal_mg_l,tn_removal_rate,tp_removal_mg_l,tp_removal_rate,cod_load_kg,tn_load_kg,tp_load_kg,energy_per_volume,avg_removal_rate
11,0.5,124.62,141.0,16.3,66.9,1.1,112.0,5.0,23.1,0.28,27.2,7.85,3.67,0.14,926440.0,A2O_Family,Filtration,Chlorine_Based,0.6828493150684932,124.7,0.8843971631205674,65.80000000000001,0.9835575485799702,107.0,0.9553571428571429,22.82,0.9878787878787878,19.35,0.7113970588235294,3.53,0.9618528610354223,175714.2,33896.64,4573.554,0.7434119723960841,0.9140734270492366
12,30.0,10926.54,223.0,22.0,111.0,2.22,186.0,6.0,22.1,0.22,28.8,10.4,3.32,0.1,7733500.0,Other,Other,Chlorine_Based,0.9978575342465754,201.0,0.9013452914798207,108.78,0.98,180.0,0.967741935483871,21.880000000000003,0.9900452488687783,18.4,0.6388888888888888,3.2199999999999998,0.9698795180722891,24366184.200000003,3146843.52,362761.128,0.0707772085216363,0.907983480465608
13,20.0,2995.45,272.0,15.0,104.0,2.2,127.0,5.0,26.5,0.28,30.7,6.82,3.16,0.16,13200239.0,A2O_Family,Filtration,Other,0.41033561643835614,257.0,0.9448529411764706,101.8,0.9788461538461538,122.0,0.9606299212598425,26.22,0.9894339622641509,23.88,0.7778501628664495,3.0,0.9493670886075949,8147623.999999999,919603.1499999999,94656.22,0.4406763257607371,0.9334967050034436
14,15.0,5451.78,217.0,16.0,80.5,1.4,183.0,5.0,32.1,0.53,34.9,7.38,3.79,0.24,20707200.0,A2O_Family,Other,Other,0.995758904109589,201.0,0.9262672811059908,79.1,0.9826086956521738,178.0,0.9726775956284153,31.57,0.9834890965732087,27.52,0.7885386819484241,3.55,0.9366754617414248,11830362.6,1902671.2199999997,206622.46199999997,0.37982457105752615,0.9317094687749395
15,30.0,6880.53,314.0,14.7,125.0,2.0,149.0,4.0,29.7,0.1,42.0,7.8,4.99,0.1,20881907.0,A2O_Family,Combined,Chlorine_Based,0.6283589041095891,299.3,0.9531847133757962,123.0,0.984,145.0,0.9731543624161074,29.599999999999998,0.9966329966329965,34.2,0.8142857142857144,4.890000000000001,0.9799599198396794,21604864.2,2889822.6,343338.44700000004,0.30349271059060856,0.9502029510917156
16,9.5,3107.6,270.0,11.4,125.0,2.0,128.0,4.0,22.2,0.1,30.6,7.21,4.0,0.06,11463450.0,A2O_Family,Combined,Chlorine_Based,0.8962076423936554,258.6,0.9577777777777778,123.0,0.984,124.0,0.96875,22.099999999999998,0.9954954954954954,23.39,0.7643790849673202,3.94,0.985,8390520.0,950925.6,124304.0,0.3688843480499421,0.9425670597067657
17,15.0,5434.56,310.0,13.0,170.0,2.5,192.0,5.0,29.0,0.21,38.1,6.98,5.0,0.13,17198637.0,A2O_Family,Combined,Chlorine_Based,0.992613698630137,297.0,0.9580645161290322,167.5,0.9852941176470589,187.0,0.9739583333333334,28.79,0.9927586206896551,31.12,0.8167979002624672,4.87,0.974,16847136.0,2070567.3600000003,271728.0,0.31646788332450093,0.9501455813435912
18,20.0,6744.88,242.0,26.0,120.0,2.72,127.0,5.15,22.3,0.4,29.0,7.26,2.61,0.16,19247000.0,A2O_Family,Combined,Other,0.9239561643835617,216.0,0.8925619834710744,117.28,0.9773333333333334,121.85,0.9594488188976378,21.900000000000002,0.9820627802690584,21.740000000000002,0.7496551724137932,2.4499999999999997,0.9386973180076628,16322609.6,1956015.2,176041.36800000002,0.2853571894533335,0.9166265677320933
19,18.0,6104.48,332.0,13.4,173.0,1.88,147.0,5.0,30.5,0.34,42.4,7.57,4.55,0.12,23831300.0,A2O_Family,Combined,Combined,0.9291445966514459,318.6,0.9596385542168675,171.12,0.9891329479768787,142.0,0.9659863945578231,30.16,0.9888524590163934,34.83,0.8214622641509434,4.43,0.9736263736263736,20266873.599999998,2588299.5199999996,277753.83999999997,0.3903903362776191,0.94978316559088
20,14.0,4755.26,330.0,14.0,174.0,1.89,151.0,5.0,29.4,0.38,40.4,7.63,4.48,0.11,19256800.0,A2O_Family,Combined,Combined,0.9305792563600783,316.0,0.9575757575757575,172.11,0.9891379310344829,146.0,0.9668874172185431,29.02,0.9870748299319728,32.769999999999996,0.8111386138613861,4.37,0.9754464285714285,15692358.0,1921125.04,213035.64800000004,0.4049578782232728,0.9478768296989285
21,4.0,1459.99,204.0,14.8,106.0,1.92,93.0,6.0,18.8,0.28,26.2,5.61,2.69,0.13,4485300.0,A2O_Family,Filtration,Combined,0.9999931506849316,189.2,0.9274509803921568,104.08,0.9818867924528302,87.0,0.9354838709677419,18.52,0.9851063829787233,20.59,0.7858778625954199,2.56,0.9516728624535317,2978379.6,382517.38,39273.731,0.30721443297556833,0.9279131253067341
22,26.0,9145.61,191.0,15.0,88.6,3.0,110.0,6.0,30.1,0.37,34.7,8.21,3.23,0.19,23878061.0,A2O_Family,Other,Chlorine_Based,0.9637102212855638,176.0,0.9214659685863874,85.6,0.9661399548532731,104.0,0.9454545454545454,29.73,0.9877076411960133,26.490000000000002,0.763400576368876,3.04,0.9411764705882353,17468115.1,3173526.670000001,295403.20300000004,0.261087680318754,0.9208908595078884
23,20.0,6848.81,223.0,17.0,98.4,3.2,128.0,6.0,32.5,0.47,36.7,8.96,3.82,0.17,23622030.0,A2O_Family,Other,Chlorine_Based,0.9381931506849316,206.0,0.9237668161434978,95.2,0.9674796747967479,122.0,0.953125,32.03,0.9855384615384616,27.740000000000002,0.755858310626703,3.65,0.9554973821989529,15272846.3,2513513.2700000005,261624.54200000002,0.34490707144744853,0.9235442742173938
24,8.0,1467.11,203.0,15.0,94.2,2.6,114.0,7.0,26.4,0.39,32.6,7.6,3.49,0.17,4615814.0,A2O_Family,Other,Chlorine_Based,0.5024349315068493,188.0,0.9261083743842364,91.60000000000001,0.9723991507430998,107.0,0.9385964912280702,26.009999999999998,0.9852272727272727,25.0,0.7668711656441718,3.3200000000000003,0.9512893982808023,2978233.3,478277.86,51202.138999999996,0.3146194900177901,0.9234153088346089
25,60.0,16842.68,278.2,12.6,107.6,1.06,119.1,4.2,26.4,0.48,34.9,7.6,4.35,0.14,52285009.0,A2O_Family,Filtration,UV,0.7690721461187214,265.59999999999997,0.9547088425593098,106.53999999999999,0.9901486988847583,114.89999999999999,0.964735516372796,25.919999999999998,0.9818181818181818,27.299999999999997,0.7822349570200573,4.21,0.9678160919540231,46856335.760000005,5878095.32,732656.58,0.3104316474575305,0.9402437147681878
26,30.0,9437.51,262.8,13.2,104.3,0.67,105.2,37.0,25.3,0.18,33.8,6.8,4.02,0.1,35533603.0,A2O_Family,Filtration,UV,0.8618730593607307,249.60000000000002,0.949771689497717,103.63,0.9935762224352829,68.2,0.6482889733840305,25.12,0.9928853754940712,26.999999999999996,0.7988165680473372,3.9199999999999995,0.9751243781094527,24801776.28,3189878.38,379387.90199999994,0.3765145997196294,0.8930772011613154
27,10.0,3459.31,352.8,10.0,117.5,1.0,154.1,1.6,30.7,0.11,38.4,4.7,3.88,0.06,21020400.0,Biofilm,Other,UV,0.9477561643835616,342.8,0.971655328798186,116.5,0.9914893617021276,152.5,0.9896171317326412,30.59,0.9964169381107492,33.699999999999996,0.8776041666666666,3.82,0.9845360824742267,12204445.68,1328375.0399999998,134221.228,0.607647189757495,0.9685531682474329
28,14.0,4804.25,231.5,19.8,107.6,2.1,47.0,6.0,17.7,0.82,21.87,8.95,1.57,0.11,18750320.0,A2O_Family,Other,Combined,0.9401663405088062,211.7,0.9144708423326133,105.5,0.9804832713754648,41.0,0.8723404255319149,16.88,0.9536723163841808,12.920000000000002,0.5907636031092822,1.46,0.929936305732484,11121838.75,1050689.475,75426.725,0.3902861008482073,0.87361112741099
29,2.9,1097.73,307.3,27.3,114.7,1.7,142.0,6.0,13.4,0.44,17.84,5.17,3.1,0.09,3996380.0,AO_Family,None,Combined,1.0370618800188947,280.0,0.9111617312072893,113.0,0.985178727114211,136.0,0.9577464788732394,12.96,0.9671641791044776,12.67,0.7102017937219731,3.0100000000000002,0.970967741935484,3373324.29,195835.032,34029.630000000005,0.36405855720441277,0.9170701086594457
30,1.0,151.7,244.0,28.0,101.6,4.3,69.0,8.0,13.5,0.34,20.64,6.54,1.53,0.13,980657.0,A2O_Family,Other,Other,0.41561643835616435,216.0,0.8852459016393442,97.3,0.9576771653543308,61.0,0.8840579710144928,13.16,0.9748148148148148,14.100000000000001,0.683139534883721,1.4,0.9150326797385621,370147.99999999994,31310.879999999997,2321.01,0.6464449571522742,0.8833280112408777
31,6.0,771.64,279.42,17.76,115.64,2.21,141.0,6.0,7.78,0.39,11.84,3.97,0.63,0.03,3856960.0,A2O_Family,None,Chlorine_Based,0.35234703196347034,261.66,0.9364397680910458,113.43,0.9808889657557939,135.0,0.9574468085106383,7.390000000000001,0.9498714652956298,7.869999999999999,0.6646959459459459,0.6,0.9523809523809523,2156116.488,91362.176,4861.332,0.49983930330205795,0.9069539843300011
32,6.0,1916.44,151.0,15.1,59.2,1.85,92.0,1.0,24.9,0.45,28.4,8.24,2.53,0.13,7669859.0,Oxidation_Ditch,Other,Chlorine_Based,0.8750867579908677,135.9,0.9,57.35,0.96875,91.0,0.9891304347826086,24.45,0.9819277108433735,20.159999999999997,0.7098591549295774,2.4,0.9486166007905139,2893824.4,544268.96,48485.93199999999,0.40021388616392894,0.9163806502243456
33,4.0,1168.56,188.0,16.1,83.9,0.96,94.0,2.0,22.5,0.2,25.7,5.68,2.36,0.11,4247901.0,A2O_Family,Other,Chlorine_Based,0.8003835616438356,171.9,0.9143617021276597,82.94000000000001,0.9885578069129918,92.0,0.9787234042553191,22.3,0.9911111111111112,20.02,0.778988326848249,2.25,0.9533898305084746,2196892.8,300319.92,27578.015999999996,0.36351586568083794,0.9341886969606343
34,4.0,888.64,194.0,11.0,70.5,0.8,146.0,3.0,13.93,0.53,18.92,8.48,1.17,0.12,3243345.0,SBR_Family,Other,Chlorine_Based,0.6086575342465753,183.0,0.9432989690721649,69.7,0.9886524822695036,143.0,0.9794520547945206,13.4,0.9619526202440776,10.440000000000001,0.5517970401691332,1.0499999999999998,0.8974358974358974,1723961.6,168130.68800000002,10397.088,0.3649785064818149,0.8870981773308829
35,6.0,2077.64,262.58,10.39,126.88,2.0,201.77,4.55,36.35,0.11,42.6,5.3,4.17,0.09,13329591.0,Oxidation_Ditch,Membrane,Chlorine_Based,0.9486940639269406,252.19,0.9604311067103359,124.88,0.9842370744010088,197.22,0.9774495712940476,36.24,0.9969738651994499,37.300000000000004,0.875586854460094,4.08,0.9784172661870504,5455467.111999999,885074.6399999999,86637.58799999999,0.6415736604994128,0.9621826230419978
36,9.9,3113.56,241.69,14.74,112.25,2.0,144.49,5.35,33.22,0.4,39.07,9.32,4.47,0.17,14333800.0,Oxidation_Ditch,Membrane,Chlorine_Based,0.861646603016466,226.95,0.9390127849724854,110.25,0.9821826280623608,139.14000000000001,0.9629732161395252,32.82,0.987959060806743,29.75,0.761453800870233,4.3,0.9619686800894854,7525163.164,1216467.892,139176.13199999998,0.4603669111884788,0.9325916951568055
37,3.0,435.28,113.75,9.95,45.8,2.0,94.89,4.12,8.28,0.04,13.23,3.33,1.85,0.09,2668190.0,MBR,Membrane,Chlorine_Based,0.3975159817351598,103.8,0.9125274725274725,43.8,0.9563318777292577,90.77,0.9565813046685635,8.24,0.995169082125604,9.9,0.7482993197278912,1.76,0.9513513513513513,495131.0,57587.543999999994,8052.68,0.6129824480793972,0.9200434013550233
38,20.0,6666.35,282.53,12.11,168.35,2.0,60.49,0.23,37.28,0.14,49.47,6.45,3.95,0.08,32041951.0,MBR,Membrane,Chlorine_Based,0.9131986301369863,270.41999999999996,0.9571372951544969,166.35,0.9881199881199881,60.260000000000005,0.9961977186311788,37.14,0.996244635193133,43.019999999999996,0.8696179502728926,3.87,0.979746835443038,18834438.654999997,3297843.3449999997,263320.82500000007,0.48065209597455877,0.9645107371357878
39,3.0,691.09,213.22,20.02,112.66,2.0,101.05,4.03,27.45,0.45,31.3,6.32,3.36,0.11,2668190.0,SBR_Family,Filtration,Chlorine_Based,0.6311324200913242,193.2,0.9061063690085357,110.66,0.9822474702645126,97.02,0.9601187530925285,27.0,0.9836065573770492,24.98,0.7980830670926518,3.25,0.9672619047619048,1473542.0980000002,216311.17,23220.623999999996,0.38608430161049934,0.932904020266197
40,2.0,647.04,247.68,14.08,128.28,2.0,88.36,4.0,43.4,0.19,46.64,9.85,4.52,0.1,3531168.0,Oxidation_Ditch,Other,Chlorine_Based,0.8863561643835616,233.6,0.9431524547803617,126.28,0.9844091050826318,84.36,0.9547306473517428,43.21,0.9956221198156683,36.79,0.7888078902229846,4.42,0.9778761061946903,1602588.672,301779.456,29246.208,0.5457418397626113,0.9407663872413466
41,60.0,19715.32,292.31,16.47,142.41,4.87,125.43,5.1,31.93,0.33,36.5,10.42,4.08,0.24,78633240.0,A2O_Family,Filtration,UV,0.9002429223744292,275.84000000000003,0.9436557079812529,137.54,0.9658029632750509,120.33000000000001,0.9593398708442956,31.6,0.9896648919511432,26.08,0.7145205479452055,3.84,0.9411764705882353,57629851.892,7196091.799999999,804385.0560000001,0.39884333604526834,0.9190267420975307
42,4.9,1661.54,198.66,11.53,67.5,2.02,140.92,2.83,8.65,0.17,17.71,8.66,2.13,0.11,8706572.0,Oxidation_Ditch,Other,UV,0.9290131395023762,187.13,0.9419611396355583,65.48,0.9700740740740741,138.08999999999997,0.9799176837922224,8.48,0.9803468208092485,9.05,0.5110107284020328,2.02,0.9483568075117371,3300815.364,294258.734,35390.801999999996,0.5240061629572565,0.8886112090374789
43,10.0,3437.56,213.8,15.3,82.38,2.01,185.01,5.0,22.46,0.08,27.55,9.94,3.55,0.18,12892544.0,A2O_Family,Other,Chlorine_Based,0.9417972602739726,198.5,0.9284377923292797,80.36999999999999,0.9756008739985432,180.01,0.9729744338143884,22.380000000000003,0.9964381121994658,17.61,0.639201451905626,3.3699999999999997,0.9492957746478873,7349503.279999999,947047.78,122033.38,0.37504927913985503,0.9103247398158651
44,35.0,8181.33,213.83,15.33,76.47,2.02,185.01,5.35,20.93,0.17,26.89,10.65,2.91,0.19,37093148.0,A2O_Family,Combined,Chlorine_Based,0.6404172211350293,198.5,0.9283075340223541,74.45,0.9735844121877861,179.66,0.9710826441813957,20.759999999999998,0.9918776875298614,16.240000000000002,0.6039419858683526,2.72,0.9347079037800687,17494137.939000003,2199959.637,238076.703,0.4533877499135226,0.9005836945949698
45,17.0,5575.92,218.47,18.25,78.14,2.02,218.56,5.0,18.61,0.14,22.53,0.54,3.69,0.16,15111349.0,A2O_Family,Combined,Chlorine_Based,0.8986172441579372,200.22,0.9164645031354419,76.12,0.9741489633990275,213.56,0.9771229868228404,18.47,0.9924771628156904,21.990000000000002,0.9760319573901465,3.53,0.9566395663956639,12181712.424,1256254.776,205751.44799999997,0.27101086457481455,0.9654808566598017
46,32.0,11644.23,191.37,15.34,69.48,2.0,165.25,5.0,19.32,0.08,23.59,9.14,3.32,0.17,31651136.0,A2O_Family,Combined,Other,0.9969374999999999,176.03,0.9198411454250928,67.48,0.9712147380541163,160.25,0.9697428139183056,19.240000000000002,0.9958592132505177,14.45,0.612547689699025,3.15,0.9487951807228916,22283562.950999998,2746873.857,386588.436,0.271818196651904,0.9030001301783249
47,16.0,6008.45,218.61,15.58,83.02,2.0,155.36,5.0,20.57,0.11,27.65,8.8,5.69,0.06,24788022.0,A2O_Family,Combined,Other,1.0288441780821918,203.03,0.9287315310370065,81.02,0.9759094194170079,150.36,0.967816683831102,20.46,0.9946524064171123,18.849999999999998,0.6817359855334538,5.630000000000001,0.9894551845342707,13135072.545,1661336.4249999998,341880.80500000005,0.4125526882973146,0.9230502017949922
48,9.0,2593.74,220.0,19.1,93.0,2.8,174.0,3.2,16.5,0.39,20.9,10.2,3.4,0.15,6686630.0,Biofilm,Other,UV,0.7895707762557077,200.9,0.9131818181818182,90.2,0.9698924731182796,170.8,0.981609195402299,16.11,0.9763636363636363,10.7,0.5119617224880383,3.25,0.9558823529411765,5706227.999999999,542091.6599999999,88187.15999999999,0.257798777055526,0.8848151997492081
49,7.0,2544.83,169.72,17.92,69.42,1.54,58.69,2.22,20.68,0.18,22.12,8.63,2.38,0.2,6235168.0,A2O_Family,Other,Chlorine_Based,0.9960195694716243,151.8,0.8944143294838558,67.88,0.9778161912993373,56.47,0.9621741352871017,20.5,0.9912959381044487,13.49,0.6098553345388789,2.1799999999999997,0.9159663865546218,4319085.476,562916.3960000001,60566.954,0.2450131442964756,0.8919203858780408
50,1.5,371.6,114.57,24.53,36.18,2.1,61.0,5.0,10.63,0.62,14.32,5.89,0.95,0.05,1556670.0,A2O_Family,Other,Chlorine_Based,0.6787214611872147,90.03999999999999,0.7858950859736406,34.08,0.9419568822553896,56.0,0.9180327868852459,10.010000000000002,0.9416745061147695,8.43,0.5886871508379888,0.8999999999999999,0.9473684210526315,425742.12,53213.12000000001,3530.2,0.41891011840688913,0.8539358055199444
51,2.0,219.96,199.3,40.3,54.7,1.5,151.0,7.0,14.87,0.83,18.1,6.86,1.4,0.25,2046684.0,AO_Family,Other,Other,0.3013150684931507,159.0,0.7977922729553436,53.2,0.9725776965265083,144.0,0.9536423841059603,14.04,0.9441829186281103,11.240000000000002,0.6209944751381216,1.15,0.8214285714285714,438380.28,39812.76,3079.44,0.9304800872885979,0.8517697197971025
52,0.5,128.65,86.7,15.0,28.7,2.9,42.0,4.0,8.37,0.15,16.68,6.14,0.93,0.11,633780.0,A2O_Family,Sedimentation,Chlorine_Based,0.704931506849315,71.7,0.8269896193771626,25.8,0.8989547038327527,38.0,0.9047619047619048,8.219999999999999,0.9820788530465949,10.54,0.63189448441247,0.8200000000000001,0.8817204301075269,111539.55000000002,21458.82,1196.4450000000002,0.49263894286824716,0.854399999256402
53,0.45,98.39,143.7,21.0,48.2,2.06,97.0,3.0,15.4,0.17,17.3,7.44,1.95,0.2,1302096.0,A2O_Family,Sedimentation,Chlorine_Based,0.5990258751902587,122.69999999999999,0.8538622129436325,46.14,0.9572614107883817,94.0,0.9690721649484536,15.23,0.9889610389610389,9.86,0.5699421965317919,1.75,0.8974358974358975,141386.43,17021.47,1918.605,1.3234027848358574,0.8727558202681994
54,1.5,482.39,150.04,12.19,65.1,5.33,152.56,5.63,12.67,0.37,27.21,7.91,2.81,0.07,1200018.0,Oxidation_Ditch,Other,UV,0.8810776255707762,137.85,0.9187549986670221,59.769999999999996,0.918125960061444,146.93,0.9630964866282119,12.3,0.9707971586424625,19.3,0.7092980521866961,2.74,0.9750889679715303,723777.956,131258.319,13555.159,0.2487651070710421,0.9091936040262277
55,0.4,157.56,135.18,15.19,51.56,5.89,81.67,6.17,9.87,0.45,16.67,7.47,1.08,0.2,1084132.0,Oxidation_Ditch,None,UV,1.079178082191781,119.99000000000001,0.8876313064062732,45.67,0.8857641582622188,75.5,0.9244520631810946,9.42,0.9544072948328268,9.200000000000003,0.551889622075585,0.8800000000000001,0.8148148148148149,212989.608,26265.252000000004,1701.6480000000001,0.6880756537192181,0.8364932099288023
56,0.5,139.04,240.88,11.79,83.86,7.83,97.18,7.54,17.12,0.15,31.81,6.84,2.33,0.1,906180.0,A2O_Family,None,UV,0.7618630136986301,229.09,0.9510544669545002,76.03,0.9066300977820176,89.64,0.922412018933937,16.970000000000002,0.9912383177570094,24.97,0.7849732788431311,2.23,0.9570815450643776,334919.55199999997,44228.623999999996,3239.6319999999996,0.651740506329114,0.9188982875558288
57,0.25,71.26,160.16,23.56,59.07,6.48,104.25,6.4,18.88,0.25,25.03,4.18,2.01,0.18,576974.0,A2O_Family,None,UV,0.7809315068493151,136.6,0.8528971028971029,52.59,0.8902996444895886,97.85,0.938609112709832,18.63,0.9867584745762712,20.85,0.8330003995205754,1.8299999999999998,0.9104477611940299,114130.01600000002,17836.378,1432.326,0.8096744316587146,0.9020020825645667
58,0.75,149.8,118.67,27.37,37.57,6.65,78.78,7.63,19.51,1.27,28.59,9.68,2.54,0.22,727628.0,Oxidation_Ditch,None,UV,0.5472146118721462,91.3,0.7693604112244038,30.92,0.8229970721320202,71.15,0.9031480071084033,18.240000000000002,0.9349051768323937,18.91,0.6614200769499825,2.32,0.9133858267716535,177767.66000000003,42827.82,3804.92,0.48573297730307075,0.8342027618364763
59,40.0,12233.08,185.82,8.72,99.93,2.77,182.38,2.35,24.17,0.14,27.13,9.0,3.52,0.19,30509120.0,A2O_Family,Sedimentation,UV,0.8378821917808219,177.1,0.9530728662146163,97.16000000000001,0.9722805964174923,180.03,0.9871148152209672,24.03,0.9942076954902772,18.13,0.668263914485809,3.33,0.9460227272727273,22731509.255999997,3318834.604,430604.41599999997,0.24939851615455796,0.9201604358503149
60,0.6,155.73,146.4,12.93,79.95,1.25,107.17,0.91,17.83,0.37,23.62,8.55,2.77,0.15,603764.0,AO_Family,Filtration,Other,0.7110958904109589,133.47,0.9116803278688524,78.7,0.9843652282676673,106.26,0.991508817766166,17.459999999999997,0.9792484576556365,15.07,0.6380186282811177,2.62,0.9458483754512635,227988.72,36783.426,4313.721,0.38769922301419124,0.9084449725484506
61,1.0,222.76,92.16,10.07,28.02,2.06,61.07,0.8,35.44,0.18,37.21,6.24,2.25,0.09,1058230.0,A2O_Family,Filtration,Chlorine_Based,0.6103013698630136,82.09,0.8907335069444445,25.96,0.9264810849393291,60.27,0.9869002783690847,35.26,0.994920993227991,30.97,0.832303144316044,2.16,0.9600000000000001,205295.61599999998,82888.99600000001,5012.099999999999,0.47505386963548213,0.9318898346328156
62,1.0,197.9,122.68,7.91,44.79,0.76,103.11,1.07,32.44,0.21,35.16,7.03,2.83,0.1,1283372.0,AO_Family,Filtration,Chlorine_Based,0.5421917808219179,114.77000000000001,0.935523312683404,44.03,0.9830319267693682,102.04,0.9896227330035885,32.23,0.9935265104808878,28.129999999999995,0.8000568828213879,2.73,0.9646643109540636,242783.72000000003,69581.64,5600.57,0.6484951995957554,0.9444042794521167
